image,is_anchor,profile,job_id,status,error,selected_candidate,prompt_version,node_count,mse_fidelity,small_component_count,interior_line_density,output_dir
car.jpg,True,legacy,61e508362a14,completed,,candidate_1.png,2026-03-22-r1,905,0.0,8,0.112253,D:\vecrorize\public\Assets\20260323_034029\61e508362a14
car.jpg,True,balanced_default,ea317124e164,completed,,candidate_1.png,2026-03-22-r1,1526,0.0,17,0.008375,D:\vecrorize\public\Assets\20260323_034029\ea317124e164
car.jpg,True,stylized_v1_detail_preserving,9d12d5a13d15,completed,,candidate_1.png,2026-03-22-r1,612,0.0,4,0.143064,D:\vecrorize\public\Assets\20260323_034029\9d12d5a13d15
car.jpg,True,stylized_v2_balanced_cartoon,b9b255dd8480,completed,,candidate_1.png,2026-03-22-r1,1302,0.0,31,0.021267,D:\vecrorize\public\Assets\20260323_034029\b9b255dd8480
car.jpg,True,stylized_v3_bold_cartoon,e15c3e9e712a,completed,,candidate_1.png,2026-03-22-r1,859,0.0,5,0.211288,D:\vecrorize\public\Assets\20260323_034029\e15c3e9e712a
car.jpg,True,stylized_v4_graphic_poster,b0ff6b2e0ebe,completed,,candidate_1.png,2026-03-22-r1,771,0.0,6,0.131087,D:\vecrorize\public\Assets\20260323_034029\b0ff6b2e0ebe
family.jpg,True,legacy,688c688bc7b6,completed,,candidate_1.png,2026-03-22-r1,893,0.0,12,0.134778,D:\vecrorize\public\Assets\20260323_034029\688c688bc7b6
family.jpg,True,balanced_default,aadbd8ea411b,completed,,candidate_1.png,2026-03-22-r1,1311,0.0,23,0.034995,D:\vecrorize\public\Assets\20260323_034029\aadbd8ea411b
family.jpg,True,stylized_v1_detail_preserving,24ef9e45d1fe,completed,,candidate_1.png,2026-03-22-r1,360,0.0,0,0.120315,D:\vecrorize\public\Assets\20260323_034029\24ef9e45d1fe
family.jpg,True,stylized_v2_balanced_cartoon,bf29299bd1cd,completed,,candidate_1.png,2026-03-22-r1,1067,0.0,4,0.113605,D:\vecrorize\public\Assets\20260323_034029\bf29299bd1cd
family.jpg,True,stylized_v3_bold_cartoon,439c19b5a0ae,completed,,candidate_1.png,2026-03-22-r1,994,0.0,9,0.171927,D:\vecrorize\public\Assets\20260323_034029\439c19b5a0ae
family.jpg,True,stylized_v4_graphic_poster,ee3d64114856,completed,,candidate_1.png,2026-03-22-r1,735,0.0,8,0.189672,D:\vecrorize\public\Assets\20260323_034029\ee3d64114856
cat.jpg,False,stylized_v1_detail_preserving,a1ed35b84bf6,completed,,candidate_1.png,2026-03-22-r1,356,0.0,0,0.099689,D:\vecrorize\public\Assets\20260323_034029\a1ed35b84bf6
cat.jpg,False,stylized_v2_balanced_cartoon,a9105ec4c228,completed,,candidate_1.png,2026-03-22-r1,294,0.0,0,0.131357,D:\vecrorize\public\Assets\20260323_034029\a9105ec4c228
cat.jpg,False,stylized_v3_bold_cartoon,bec2cc96e075,completed,,candidate_1.png,2026-03-22-r1,616,0.0,0,0.164291,D:\vecrorize\public\Assets\20260323_034029\bec2cc96e075
cat.jpg,False,stylized_v4_graphic_poster,a78cdad39ba5,completed,,candidate_1.png,2026-03-22-r1,331,0.0,0,0.161695,D:\vecrorize\public\Assets\20260323_034029\a78cdad39ba5
cow.jpg,False,stylized_v1_detail_preserving,3ce2fc0be95c,completed,,candidate_1.png,2026-03-22-r1,102,0.0,0,0.113233,D:\vecrorize\public\Assets\20260323_034029\3ce2fc0be95c
cow.jpg,False,stylized_v2_balanced_cartoon,00238583e98d,completed,,candidate_1.png,2026-03-22-r1,137,0.0,0,0.075596,D:\vecrorize\public\Assets\20260323_034029\00238583e98d
cow.jpg,False,stylized_v3_bold_cartoon,e068873b94e3,failed,RuntimeError: All generation variant requests failed (model=black-forest-labs/FLUX.1-Kontext-dev): variant_1:SiliconFlow generation request failed after retries (model=black-forest-labs/FLUX.1-Kontext-dev): RemoteProtocolError: Server disconnected without sending a response.,,,,,,,D:\vecrorize\public\Assets\20260323_034029\e068873b94e3
cow.jpg,False,stylized_v4_graphic_poster,600d1cce3416,completed,,candidate_1.png,2026-03-22-r1,220,0.0,0,0.060902,D:\vecrorize\public\Assets\20260323_034029\600d1cce3416
nyc.jpg,False,stylized_v1_detail_preserving,b13e38fd1278,completed,,candidate_1.png,2026-03-22-r1,406,0.0,6,0.108229,D:\vecrorize\public\Assets\20260323_034029\b13e38fd1278
nyc.jpg,False,stylized_v2_balanced_cartoon,f0df611dcb67,completed,,candidate_1.png,2026-03-22-r1,5030,0.0,295,0.169287,D:\vecrorize\public\Assets\20260323_034029\f0df611dcb67
nyc.jpg,False,stylized_v3_bold_cartoon,f97ac9882301,completed,,candidate_1.png,2026-03-22-r1,3831,0.0,169,0.278705,D:\vecrorize\public\Assets\20260323_034029\f97ac9882301
nyc.jpg,False,stylized_v4_graphic_poster,de9986c0ddef,completed,,candidate_1.png,2026-03-22-r1,5368,0.0,84,0.014977,D:\vecrorize\public\Assets\20260323_034029\de9986c0ddef
star.jpg,False,stylized_v1_detail_preserving,503e356bb9cb,completed,,candidate_1.png,2026-03-22-r1,289,0.0,0,0.104609,D:\vecrorize\public\Assets\20260323_034029\503e356bb9cb
star.jpg,False,stylized_v2_balanced_cartoon,ed978f848a20,completed,,candidate_1.png,2026-03-22-r1,141,0.0,1,0.045871,D:\vecrorize\public\Assets\20260323_034029\ed978f848a20
star.jpg,False,stylized_v3_bold_cartoon,7e4c0b28c24e,completed,,candidate_1.png,2026-03-22-r1,88,0.0,1,0.249373,D:\vecrorize\public\Assets\20260323_034029\7e4c0b28c24e
star.jpg,False,stylized_v4_graphic_poster,b816374987e2,completed,,candidate_1.png,2026-03-22-r1,123,0.0,4,0.091792,D:\vecrorize\public\Assets\20260323_034029\b816374987e2
